"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.258520000E-1,1.580712891E-1,2.463876343E-1,9.706565094E0,9.710978289E0
6.358080000E-1,1.570234680E-1,2.484832764E-1,9.695488129E0,9.699942802E0
6.457640000E-1,1.576222229E-1,2.609074402E-1,9.692644043E0,9.697436053E0
6.557200000E-1,1.567240906E-1,2.622546387E-1,9.705517273E0,9.710324684E0
6.656760000E-1,1.568737793E-1,2.462379456E-1,9.701924744E0,9.706316822E0
6.756320000E-1,1.695973206E-1,2.487826538E-1,9.701325989E0,9.705997218E0
6.855880000E-1,1.652563477E-1,2.498304749E-1,9.699978790E0,9.704602695E0
6.955440000E-1,1.504371643E-1,2.480342102E-1,9.702224121E0,9.706559906E0
7.055000000E-1,1.570234680E-1,2.404000854E-1,9.699380035E0,9.703629303E0
7.154560000E-1,1.535806274E-1,2.456391907E-1,9.697284393E0,9.701610703E0
7.254120000E-1,1.528321838E-1,2.499801636E-1,9.709708557E0,9.714128269E0
7.353690000E-1,1.562750244E-1,2.546205139E-1,9.696685638E0,9.701286815E0
7.453240000E-1,1.658551025E-1,2.538720703E-1,9.703870697E0,9.708607802E0
7.552810000E-1,1.505868530E-1,2.598596191E-1,9.704619141E0,9.709265476E0
7.652370000E-1,1.450483704E-1,2.457888794E-1,9.694739685E0,9.698939569E0
7.751930000E-1,1.661544800E-1,2.426454163E-1,9.710906067E0,9.715357984E0
7.851490000E-1,1.594184875E-1,2.567161560E-1,9.697134705E0,9.701842037E0
7.951050000E-1,1.550775146E-1,2.456391907E-1,9.703271942E0,9.707619380E0
8.050610000E-1,1.634600830E-1,2.409988403E-1,9.692045288E0,9.696419004E0
8.150170000E-1,1.604663086E-1,2.526745605E-1,9.691446533E0,9.696067748E0
8.249730000E-1,1.597178650E-1,2.520758057E-1,9.699380035E0,9.703969553E0
8.349290000E-1,1.660047913E-1,2.475851440E-1,9.704319763E0,9.708896851E0
8.448850000E-1,1.549278259E-1,2.484832764E-1,9.701176300E0,9.705594684E0
8.548410000E-1,1.591191101E-1,2.459385681E-1,9.693691864E0,9.698116654E0
8.647970000E-1,1.649569702E-1,2.469863892E-1,9.695188751E0,9.699737007E0
8.747530000E-1,1.471440125E-1,2.457888794E-1,9.702673187E0,9.706901180E0
8.847090000E-1,1.466949463E-1,2.314187622E-1,9.707912292E0,9.711778165E0
8.946650000E-1,1.453477478E-1,2.326162720E-1,9.700427856E0,9.704305070E0
9.046210000E-1,1.589694214E-1,2.469863892E-1,9.709259491E0,9.713701324E0
9.145770000E-1,1.613644409E-1,2.550695801E-1,9.713450775E0,9.718138965E0
9.245330000E-1,1.675016785E-1,2.546205139E-1,9.693991241E0,9.698781089E0
9.344890000E-1,1.594184875E-1,2.447410583E-1,9.703721008E0,9.708115875E0
9.444450000E-1,1.529818726E-1,2.441423035E-1,9.705367584E0,9.709643086E0
9.544010000E-1,1.615141296E-1,2.514770508E-1,9.702074432E0,9.706676868E0
9.643570000E-1,1.585203552E-1,2.435435486E-1,9.707313538E0,9.711661973E0
9.743130000E-1,1.540296936E-1,2.414479065E-1,9.704020386E0,9.708245665E0
9.842690000E-1,1.532812500E-1,2.504292297E-1,9.693542175E0,9.697987928E0
9.942250000E-1,1.695973206E-1,2.462379456E-1,9.700427856E0,9.705034620E0
1.004181000E0,1.592687988E-1,2.444416809E-1,9.695937195E0,9.700325581E0
1.014137000E0,1.520837402E-1,2.517764282E-1,9.704768829E0,9.709225451E0
1.024093000E0,1.637594604E-1,2.604583740E-1,9.701475677E0,9.706352870E0
1.034049000E0,1.555265808E-1,2.398013306E-1,9.700278168E0,9.704488123E0
1.044005000E0,1.585203552E-1,2.549198914E-1,9.699829102E0,9.704473064E0
1.053961000E0,1.642085266E-1,2.365081787E-1,9.702373810E0,9.706645049E0
1.063917000E0,1.567240906E-1,2.486329651E-1,9.696086884E0,9.700540276E0
1.073872750E0,1.567240906E-1,2.457888794E-1,9.697733459E0,9.702113629E0
1.083828750E0,1.594184875E-1,2.526745605E-1,9.699829102E0,9.704429055E0
1.093784750E0,1.637594604E-1,2.454895020E-1,9.688303070E0,9.692796224E0
1.103740750E0,1.565744019E-1,2.442919922E-1,9.701176300E0,9.705514707E0
1.113696750E0,1.591191101E-1,2.414479065E-1,9.704619141E0,9.708926236E0
1.123652750E0,1.666035461E-1,2.487826538E-1,9.702224121E0,9.706843073E0
1.133608750E0,1.642085266E-1,2.480342102E-1,9.710457001E0,9.715012124E0
1.143564750E0,1.553768921E-1,2.468367004E-1,9.706714783E0,9.711095829E0
1.153520750E0,1.683998108E-1,2.401007080E-1,9.698182526E0,9.702615686E0
1.163476750E0,1.568737793E-1,2.507286072E-1,9.704918518E0,9.709424167E0
1.173432750E0,1.727407837E-1,2.466870117E-1,9.693991241E0,9.698667952E0
1.183388750E0,1.654060364E-1,2.508782959E-1,9.692344666E0,9.697001815E0
1.193344750E0,1.577719116E-1,2.592608643E-1,9.705666962E0,9.710410874E0
1.203300750E0,1.691482544E-1,2.365081787E-1,9.702523499E0,9.706879493E0
1.213256750E0,1.588197327E-1,2.529739380E-1,9.706565094E0,9.711159840E0
1.223212750E0,1.553768921E-1,2.592608643E-1,9.705367584E0,9.710073023E0
1.233168750E0,1.556762695E-1,2.457888794E-1,9.705666962E0,9.710026696E0
1.243124750E0,1.601669312E-1,2.324665833E-1,9.695188751E0,9.699297865E0
1.253080750E0,1.601669312E-1,2.390528870E-1,9.688153381E0,9.692425686E0
1.263036750E0,1.688488770E-1,2.483335876E-1,9.690847778E0,9.695499481E0
1.272992750E0,1.636097717E-1,2.329156494E-1,9.700427856E0,9.704602952E0
1.282948750E0,1.523831177E-1,2.547702026E-1,9.699829102E0,9.704370823E0
1.292904750E0,1.472937012E-1,2.589614868E-1,9.707612915E0,9.712183328E0
1.302860750E0,1.558259583E-1,2.432441711E-1,9.703421631E0,9.707720680E0
1.312816750E0,1.598675537E-1,2.433938599E-1,9.700727234E0,9.705096964E0
1.322772750E0,1.585203552E-1,2.477348328E-1,9.691147156E0,9.695609029E0
1.332729750E0,1.448986816E-1,2.537223816E-1,9.710157623E0,9.714552576E0
1.342685750E0,1.525328064E-1,2.432441711E-1,9.692194977E0,9.696446641E0
1.352641750E0,1.640588379E-1,2.474354553E-1,9.692644043E0,9.697189704E0
1.362597750E0,1.448986816E-1,2.421963501E-1,9.699829102E0,9.703934218E0
1.372553750E0,1.529818726E-1,2.535726929E-1,9.703271942E0,9.707790117E0
1.382509750E0,1.710942078E-1,2.414479065E-1,9.692344666E0,9.696861112E0
1.392465750E0,1.603166199E-1,2.441423035E-1,9.704170074E0,9.708564452E0
1.402421750E0,1.721420288E-1,2.579136658E-1,9.709858246E0,9.714808258E0
1.412377750E0,1.567240906E-1,2.553689575E-1,9.697733459E0,9.702361053E0
1.422333750E0,1.498384094E-1,2.468367004E-1,9.694889374E0,9.699188619E0
1.432289750E0,1.672023010E-1,2.489323425E-1,9.696386261E0,9.701022134E0
1.442245750E0,1.670526123E-1,2.412982178E-1,9.707163849E0,9.711599322E0
1.452201750E0,1.586700439E-1,2.567161560E-1,9.705666962E0,9.710357900E0
1.462157750E0,1.549278259E-1,2.589614868E-1,9.704319763E0,9.709010544E0
1.472113750E0,1.601669312E-1,2.460882568E-1,9.692344666E0,9.696791118E0
1.482069750E0,1.694476318E-1,2.639012146E-1,9.710606689E0,9.715669747E0
1.492025750E0,1.660047913E-1,2.513273621E-1,9.702972565E0,9.707646451E0
1.501981750E0,1.561253357E-1,2.535726929E-1,9.688901825E0,9.693476817E0
1.511937750E0,1.609153748E-1,2.484832764E-1,9.698930969E0,9.703447822E0
1.521893750E0,1.615141296E-1,2.496807861E-1,9.715845795E0,9.720395404E0
1.531849750E0,1.664538574E-1,2.609074402E-1,9.696685638E0,9.701623161E0
1.541805750E0,1.606159973E-1,2.460882568E-1,9.681567078E0,9.686025914E0
1.551761750E0,1.558259583E-1,2.480342102E-1,9.713600464E0,9.718016087E0
1.561717750E0,1.615141296E-1,2.474354553E-1,9.695937195E0,9.700438609E0
1.571673750E0,1.622625732E-1,2.474354553E-1,9.704170074E0,9.708680151E0
1.581629750E0,1.637594604E-1,2.406994629E-1,9.699380035E0,9.703748063E0
1.591585750E0,1.685494995E-1,2.621049500E-1,9.695188751E0,9.700195506E0
1.601541750E0,1.583706665E-1,2.525248718E-1,9.688153381E0,9.692737798E0
1.611497750E0,1.544787598E-1,2.508782959E-1,9.698631592E0,9.703105604E0
1.621453750E0,1.616638184E-1,2.448907471E-1,9.704319763E0,9.708755262E0
1.631409750E0,1.553768921E-1,2.502795410E-1,9.701176300E0,9.705648017E0
1.641365750E0,1.498384094E-1,2.568658447E-1,9.700128479E0,9.704685679E0
1.651321750E0,1.627116394E-1,2.429447937E-1,9.708061981E0,9.712464398E0
1.661277750E0,1.538800049E-1,2.433938599E-1,9.710756378E0,9.715024913E0
1.671233750E0,1.615141296E-1,2.418969727E-1,9.704768829E0,9.709126582E0
1.681189750E0,1.679507446E-1,2.507286072E-1,9.709409180E0,9.714097946E0
1.691145750E0,1.567240906E-1,2.526745605E-1,9.698631592E0,9.703188220E0
1.701101750E0,1.550775146E-1,2.430944824E-1,9.707313538E0,9.711595136E0
1.711057750E0,1.440005493E-1,2.451901245E-1,9.692644043E0,9.696814059E0
1.721013750E0,1.610650635E-1,2.525248718E-1,9.707463226E0,9.712082838E0
1.730969750E0,1.612147522E-1,2.468367004E-1,9.709109802E0,9.713584905E0
1.740925750E0,1.654060364E-1,2.538720703E-1,9.703271942E0,9.708001677E0
1.750881750E0,1.505868530E-1,2.552192688E-1,9.707912292E0,9.712434008E0
1.760837750E0,1.555265808E-1,2.456391907E-1,9.715396729E0,9.719745919E0
1.770793750E0,1.588197327E-1,2.472857666E-1,9.696535950E0,9.700988784E0
