"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713383971570140E9,"2024-04-17 16:59:31.570 UTC-03:00"
"PAUSE",2.919011924999904E1,1.713384000760080E9,"2024-04-17 17:00:00.760 UTC-03:00"
