"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.530389583E0,-5.835058926E-2,-1.428461993E-2,-2.172030115E-1,2.253574712E-1
7.540345583E0,-7.154497756E-2,1.371447986E-2,-1.742417639E-1,1.888569911E-1
7.550301583E0,-5.149341328E-2,3.523245273E-2,-1.866624194E-1,1.968140142E-1
7.560257583E0,-4.862482410E-2,2.205688516E-2,-1.573210913E-1,1.661349014E-1
7.570213583E0,-3.432553131E-2,1.318073871E-2,-1.260361487E-1,1.312900786E-1
7.580170583E0,-1.264299586E-2,1.832389478E-2,-1.567235059E-1,1.582967711E-1
7.590126583E0,2.226363905E-3,1.783875860E-2,-1.390643299E-1,1.402214885E-1
7.600082583E0,4.565836715E-2,1.713384021E-2,-4.551063359E-2,6.670436823E-2
7.610038583E0,3.292325936E-2,8.943261523E-3,-2.605168462E-2,4.292567070E-2
7.619994583E0,4.386224868E-2,-9.865568429E-3,-2.725094855E-2,5.257224074E-2
7.629950583E0,2.405849671E-2,-2.207252646E-2,-8.188850105E-2,8.815744037E-2
7.639907583E0,3.594528314E-2,-1.115469676E-2,-8.593068123E-2,9.381136720E-2
7.649863583E0,3.038761429E-2,5.391936824E-3,-6.901410162E-2,7.560043855E-2
7.659819583E0,2.722662779E-2,6.706628446E-3,-1.124197376E-1,1.158639958E-1
7.669775583E0,3.569741601E-2,-2.114590723E-3,-9.879338622E-2,1.050662180E-1
7.679731583E0,1.751149725E-2,-3.003840761E-2,-1.294754809E-1,1.340628906E-1
7.689687583E0,-3.751683198E-3,-1.633074341E-2,-1.416002673E-1,1.425882323E-1
7.699644583E0,4.754279684E-3,4.394127745E-3,-1.136067224E-1,1.137910317E-1
7.709600583E0,-7.569257207E-3,7.248245068E-3,-8.516528070E-2,8.580766719E-2
7.719556583E0,-2.380936878E-2,-7.288974579E-3,-7.199091911E-2,7.617550543E-2
7.729512583E0,-3.836573806E-2,-8.509745300E-3,-1.583642346E-1,1.631673264E-1
7.739468583E0,-3.192057151E-2,-1.523296522E-2,-1.309688598E-1,1.356606367E-1
7.749424583E0,-2.074319853E-2,6.501975898E-3,-1.067181176E-1,1.089096534E-1
7.759381583E0,-3.211214092E-2,2.002388136E-2,-1.483327514E-1,1.530841290E-1
7.769337583E0,-3.113857951E-2,1.423384052E-2,-1.606072265E-1,1.642159997E-1
7.779293583E0,-3.473887464E-2,1.033701846E-2,-1.329148132E-1,1.377678878E-1
7.789249583E0,-4.395633403E-2,1.119460400E-2,-1.133055907E-1,1.220476766E-1
7.799205583E0,-3.874374228E-2,2.197522514E-2,-1.484795165E-1,1.550166278E-1
7.809161583E0,-1.043713376E-2,5.644134544E-3,-7.543083608E-2,7.635837248E-2
7.819118583E0,-1.231906012E-2,-2.476803806E-2,-3.037511587E-2,4.108360519E-2
7.829074917E0,-3.511505160E-2,-8.603794109E-3,-1.091107982E-1,1.149445885E-1
7.839030917E0,-1.513639480E-2,-3.118318280E-2,-1.273716527E-1,1.320039365E-1
7.848986917E0,-1.275361788E-2,-3.102587443E-2,-5.836807609E-2,6.732081371E-2
7.858942917E0,-1.411320515E-2,-1.628550058E-2,-7.333753288E-2,7.643816990E-2
7.868898917E0,-1.292274859E-2,-2.615518034E-2,-1.104626745E-1,1.142501350E-1
7.878855917E0,3.790183458E-3,-2.963865906E-2,-1.242346215E-1,1.277773720E-1
7.888811917E0,4.345687218E-3,-2.274544962E-2,-1.562703466E-1,1.579767759E-1
7.898767917E0,3.619791940E-3,7.885244396E-3,-1.493834960E-1,1.496352527E-1
7.908723917E0,1.137831621E-2,1.531197572E-2,-1.046248144E-1,1.063497742E-1
7.918679917E0,2.186798355E-2,1.582368018E-2,-1.026806152E-1,1.061692342E-1
7.928635917E0,1.710264897E-2,-1.107078921E-3,-9.953715205E-2,1.010018359E-1
7.938592917E0,-1.942808663E-2,-6.385013312E-3,-1.477328271E-1,1.491415674E-1
7.948548917E0,-1.301937383E-3,1.449577751E-2,-8.665982902E-2,8.787348048E-2
7.958504917E0,9.722494371E-3,1.266653091E-2,-3.516515493E-2,3.862066835E-2
7.968460917E0,-1.199633036E-2,2.126350936E-2,-8.486297965E-2,8.830500602E-2
7.978416917E0,-2.911432827E-2,-9.744019434E-4,-9.129667103E-2,9.583149645E-2
7.988372917E0,-2.053726690E-2,-8.992213681E-3,-1.180932909E-1,1.202025981E-1
7.998329917E0,-1.914884554E-2,-2.388086926E-2,-9.294441640E-2,9.785519272E-2
8.008285917E0,-3.554162426E-2,-3.370311348E-2,-8.426247060E-2,9.746420299E-2
8.018241917E0,-1.668577904E-2,-9.169621859E-3,-1.285697472E-1,1.299718319E-1
8.028197917E0,-1.834816072E-2,-1.062470147E-2,-1.694318444E-1,1.707532991E-1
8.038153917E0,-1.842561806E-2,-1.907219220E-2,-1.683810997E-1,1.704565829E-1
8.048109917E0,-2.471110079E-2,-1.726823481E-2,-1.553581810E-1,1.582561052E-1
8.058065917E0,-9.014250375E-3,-1.260582950E-2,-1.044599229E-1,1.056032156E-1
8.068022917E0,-3.112710435E-3,3.092263453E-3,-6.958303571E-2,6.972123004E-2
8.077978917E0,-1.439091135E-3,8.035645746E-3,-1.388894981E-1,1.391292035E-1
8.087934917E0,-1.294341484E-2,2.475857288E-3,-1.185318321E-1,1.192621360E-1
8.097890917E0,6.905068327E-3,8.908945676E-3,-1.082062340E-1,1.087917201E-1
8.107846917E0,-9.426058810E-3,8.810548000E-3,-7.123428941E-2,7.239337213E-2
8.117802917E0,2.339821815E-2,2.705141231E-3,-3.201759875E-2,3.974822048E-2
8.127759917E0,5.275997501E-3,2.084981885E-2,-1.165923107E-1,1.185593438E-1
8.137715917E0,-1.709354924E-2,-6.614315528E-3,-1.074607140E-1,1.090125848E-1
8.147671917E0,-2.828203194E-2,-1.112145899E-2,-9.428869128E-2,9.906521834E-2
8.157627917E0,-1.186173476E-2,-3.128644098E-3,-1.363518065E-1,1.369025358E-1
8.167583917E0,-1.863074569E-2,2.267367505E-3,-8.231359363E-2,8.442614131E-2
8.177539917E0,-3.726187510E-2,-2.729081925E-2,-7.437716782E-2,8.755112361E-2
8.187496917E0,-3.320376126E-2,-1.007899180E-2,-1.454769713E-1,1.495580991E-1
8.197452917E0,-1.260866174E-2,4.786603823E-3,-1.595447874E-1,1.601138005E-1
8.207408917E0,-1.590645483E-2,5.721573606E-3,-1.447238499E-1,1.457077364E-1
8.217364917E0,-3.480343156E-2,-8.515738696E-3,-7.257271707E-2,8.093575178E-2
8.227320917E0,-4.918950068E-2,5.921292566E-3,-1.164262497E-1,1.265296025E-1
8.237276917E0,-2.345120855E-2,-1.100027544E-2,-1.601324326E-1,1.622139365E-1
8.247233917E0,-2.989991996E-2,-2.471437158E-2,-1.183710337E-1,1.245652720E-1
8.257189917E0,-3.804404983E-2,-1.892953841E-2,-5.535617530E-2,6.978526561E-2
8.267145917E0,-2.645015409E-2,1.233338580E-2,-8.813858986E-2,9.284467717E-2
8.277101917E0,-1.481406704E-2,-4.503086954E-4,-9.667493999E-2,9.780441392E-2
8.287057917E0,-5.272909440E-3,-8.417103477E-3,-1.011667711E-1,1.016531690E-1
8.297013917E0,-8.218663596E-3,-2.086776249E-2,-1.134389073E-1,1.156347509E-1
8.306970917E0,3.217348186E-2,-1.308223139E-3,-1.191253245E-1,1.234005159E-1
8.316926917E0,2.548649641E-2,8.835179396E-3,-1.014620554E-1,1.049865258E-1
8.326882917E0,1.839437200E-2,6.673262771E-3,-1.007136118E-1,1.025968663E-1
8.336838917E0,1.106676925E-2,-1.051389674E-2,-1.547518247E-1,1.555028703E-1
8.346794917E0,1.530212682E-2,-9.127083365E-3,-1.269091380E-1,1.281537671E-1
8.356750917E0,2.364599392E-2,1.495701319E-2,-9.697022438E-2,1.009260605E-1
8.366706917E0,9.781989790E-3,4.294414446E-3,-7.646286964E-2,7.720556815E-2
8.376663917E0,-2.965872232E-3,1.441307595E-2,-8.469341040E-2,8.596224125E-2
8.386619917E0,-1.974688780E-2,1.077364102E-2,-1.089418137E-1,1.112399645E-1
8.396575917E0,-1.786037503E-2,1.921376791E-3,-1.162748069E-1,1.176542196E-1
8.406531917E0,-1.199181704E-2,1.430185094E-2,-1.186622250E-1,1.201210650E-1
8.416487917E0,5.645578075E-3,1.360188441E-2,-7.674587488E-2,7.814610114E-2
8.426443917E0,-1.645845026E-3,1.716112113E-2,-8.797135949E-2,8.964470411E-2
8.436400917E0,-3.828389531E-2,-4.671377130E-3,-1.888627267E-1,1.927604937E-1
8.446356917E0,-3.090545833E-2,-2.418755572E-3,-1.200070846E-1,1.239463517E-1
8.456312917E0,-4.925548285E-3,1.032453831E-2,-8.587981045E-2,8.663832270E-2
8.466268917E0,-3.390228426E-2,-5.555786770E-3,-8.902444303E-2,9.542317906E-2
8.476224917E0,-3.107542958E-2,-7.878775913E-3,-1.027969748E-1,1.076799678E-1
8.486180917E0,-2.820145000E-2,-2.558995558E-2,-1.004013705E-1,1.073806445E-1
8.496137917E0,-2.968158128E-2,-7.174789421E-3,-1.173167807E-1,1.212258260E-1
8.506093917E0,-3.250664525E-2,-2.248482825E-2,-1.005504745E-1,1.080400269E-1
8.516049917E0,-1.974100403E-2,-8.914902527E-3,-1.256975949E-1,1.275502571E-1
8.526005917E0,2.801273111E-3,9.913771413E-4,-1.316810507E-1,1.317145742E-1
8.535961917E0,-7.757062465E-4,-1.232998710E-2,-1.482964987E-1,1.488102208E-1
8.545917917E0,-1.852127485E-2,-1.590709437E-2,-1.644617110E-1,1.662640300E-1
8.555874917E0,-5.537294950E-3,-1.299510788E-2,-7.853746176E-2,7.979766515E-2
8.565830917E0,2.819454297E-5,-1.783583499E-3,-9.440446615E-2,9.442131748E-2
8.575786917E0,7.928312793E-3,-2.306737538E-2,-1.300292122E-1,1.322972335E-1
8.585742917E0,4.875335321E-3,-1.693233054E-2,-8.527111530E-2,8.707258936E-2
8.595698917E0,4.418466780E-3,1.449778749E-2,-6.267045736E-2,6.447708831E-2
8.605654917E0,-4.925164562E-3,1.973453555E-3,-7.824100792E-2,7.842070572E-2
8.615610917E0,-1.242955422E-2,3.412124421E-3,-1.229973507E-1,1.236708724E-1
8.625567917E0,1.180737393E-2,1.258236755E-2,-7.464906335E-2,7.661731339E-2
8.635523917E0,7.627363913E-3,1.334908370E-2,-9.845015466E-2,9.964340254E-2
8.645479917E0,-9.682934303E-3,3.472253898E-2,-1.159613961E-1,1.214350004E-1
8.655435917E0,-2.472855108E-2,2.409412818E-2,-1.232943892E-1,1.280372394E-1
8.665391917E0,-2.617096782E-2,1.381068483E-2,-1.188019735E-1,1.224318728E-1
8.675347917E0,-2.059442343E-2,-1.031677248E-2,-1.164069539E-1,1.186640004E-1
8.685304917E0,-3.215363787E-2,-7.780853324E-3,-1.556242293E-1,1.591015363E-1
8.695260917E0,-1.285839267E-2,-2.830156529E-2,-1.144592464E-1,1.186053791E-1
8.705216917E0,-1.623590888E-2,-4.050413791E-2,-8.976002276E-2,9.980506806E-2
8.715172917E0,-3.085749289E-2,-2.246918695E-2,-1.134090865E-1,1.196606457E-1
8.725128917E0,-1.260888102E-2,-3.639571974E-2,-9.335079789E-2,1.009851661E-1
8.735084917E0,-4.019704945E-3,-1.865974423E-2,-8.077986896E-2,8.300440538E-2
8.745041917E0,-4.271208309E-3,-1.755754407E-2,-9.918982744E-2,1.008222815E-1
8.754997917E0,-1.006492194E-2,-1.571649341E-2,-1.120624727E-1,1.136059356E-1
8.764953917E0,-6.936460566E-3,-3.378521204E-3,-1.006872994E-1,1.009824794E-1
8.774909917E0,-8.046170734E-3,-3.315809816E-3,-7.898594320E-2,7.946392063E-2
8.784865917E0,-2.449837178E-3,8.238672037E-3,-9.769878745E-2,9.807614638E-2
8.794821917E0,4.199232738E-3,9.406963997E-3,-1.048844308E-1,1.053891282E-1
8.804778917E0,-9.271436501E-3,2.265171144E-2,-1.241960299E-1,1.265848072E-1
8.814734917E0,1.850095578E-3,1.865144849E-2,-1.174617916E-1,1.189477695E-1
8.824690917E0,1.877577491E-3,-2.917632703E-3,-1.493460739E-1,1.493863704E-1
8.834646667E0,-1.004021745E-3,3.854046017E-3,-1.373709762E-1,1.374286973E-1
8.844602667E0,-1.484989950E-2,-7.165397331E-4,-1.132716769E-1,1.142431868E-1
8.854558667E0,-8.727608901E-3,-1.732694451E-2,-9.081836879E-2,9.286748771E-2
8.864514667E0,-5.312798414E-3,-7.057516202E-3,-1.382714474E-1,1.385533382E-1
8.874471667E0,-1.347452475E-2,1.234021973E-2,-1.074326473E-1,1.089753071E-1
8.884427667E0,-1.970550047E-2,1.433561862E-2,-8.078630090E-2,8.438153307E-2
8.894383667E0,-1.067001740E-2,-8.469582237E-3,-9.021376669E-2,9.123654309E-2
8.904339667E0,-1.261275480E-2,-2.477172911E-3,-9.530025959E-2,9.616318135E-2
8.914295667E0,-1.056237381E-2,-8.618393876E-3,-9.230590045E-2,9.330712573E-2
8.924251667E0,-2.069936268E-2,-1.312880812E-2,-6.970290363E-2,7.388723836E-2
8.934208667E0,-2.626313455E-2,-1.429792235E-2,-1.204479647E-1,1.241043714E-1
8.944164667E0,-2.505206656E-2,-1.124472560E-2,-1.050288570E-1,1.085592497E-1
8.954120667E0,-2.027448937E-2,-1.557197582E-2,-9.664628863E-2,9.997022785E-2
8.964076667E0,-3.568091590E-2,-2.242573483E-2,-1.182026339E-1,1.254906530E-1
8.974032667E0,-1.291096279E-2,-1.297223065E-2,-1.524825203E-1,1.535769864E-1
8.983988667E0,7.336391844E-3,2.821811456E-3,-1.273377389E-1,1.275801121E-1
8.993945667E0,-7.262643836E-3,1.820457503E-3,-1.065333456E-1,1.067961319E-1
9.003901667E0,-1.480467495E-2,7.704346161E-3,-1.239001608E-1,1.250191393E-1
9.013857667E0,-2.114316635E-4,2.400397142E-2,-1.069835812E-1,1.096436135E-1
9.023813667E0,1.137161018E-2,1.332620647E-2,-1.002446651E-1,1.017639140E-1
9.033769667E0,1.882359417E-2,1.532116681E-2,-1.009896004E-1,1.038651301E-1
9.043725667E0,4.616395030E-3,2.013978414E-2,-1.205999923E-1,1.223571826E-1
9.053681667E0,1.605663691E-3,9.200575557E-3,-9.904423177E-2,9.948360967E-2
9.063638667E0,-7.226281464E-3,2.045752550E-2,-1.047329879E-1,1.069566653E-1
9.073594667E0,-3.559934724E-2,-8.193904292E-3,-1.132664144E-1,1.190114878E-1
9.083550667E0,-2.397870049E-2,-2.041785579E-2,-1.321231002E-1,1.358248155E-1
9.093506667E0,-2.380609799E-2,-1.611061402E-2,-9.694625080E-2,1.011180386E-1
9.103462667E0,-3.637185579E-2,-3.311174070E-2,-1.149106514E-1,1.249950282E-1
9.113418667E0,-3.074491572E-2,-4.953596648E-2,-1.394596016E-1,1.511556890E-1
9.123375667E0,-2.799740044E-2,-2.419484647E-2,-1.306273824E-1,1.357672938E-1
9.133331667E0,-3.152425820E-2,-2.149666708E-2,-1.288293636E-1,1.343610452E-1
9.143287667E0,-1.774925966E-2,-1.190071011E-2,-9.739531696E-2,9.971214011E-2
9.153243667E0,-2.270400748E-2,5.640918575E-3,-9.215679646E-2,9.507979307E-2
9.163199667E0,-7.980042379E-3,1.891722271E-2,-7.195291221E-2,7.482488869E-2
9.173155667E0,-3.201849410E-2,2.268045416E-2,-6.402116418E-2,7.508859053E-2
9.183112667E0,-1.114239933E-2,3.482731378E-2,-7.764459193E-2,8.582410794E-2
9.193068667E0,7.446959037E-3,3.335582541E-2,-9.815311611E-2,1.039331636E-1
9.203024667E0,-3.441013321E-3,1.215785969E-2,-8.617626429E-2,8.709766157E-2
9.212980667E0,-4.212187976E-4,2.242443748E-3,-1.143171591E-1,1.143399267E-1
9.222936667E0,-6.262240056E-3,-2.575515769E-3,-1.400624496E-1,1.402260272E-1
9.232892667E0,3.961927146E-3,6.733982451E-4,-1.128191024E-1,1.128906559E-1
9.242848667E0,1.234875301E-2,-2.045924312E-2,-1.288352108E-1,1.310327588E-1
9.252805667E0,-9.956675358E-3,-5.106921606E-3,-1.201515108E-1,1.206714614E-1
9.262761667E0,4.090090804E-3,-5.471184868E-3,-1.418540365E-1,1.420184156E-1
9.272717667E0,1.187975150E-2,-2.673913445E-2,-1.222442293E-1,1.256971018E-1
9.282673667E0,4.981133379E-3,2.765605096E-3,-9.275613606E-2,9.293094769E-2
9.292629667E0,-1.445722243E-2,-1.555615179E-3,-1.143095577E-1,1.152306652E-1
9.302585667E0,1.049856607E-2,7.111968398E-3,-1.047283101E-1,1.054932174E-1
9.312542667E0,-1.633635309E-2,-7.039901465E-3,-1.087710750E-1,1.102160760E-1
9.322498667E0,-1.658045607E-2,-3.231628183E-3,-8.796434283E-2,8.957165039E-2
9.332454667E0,-2.861062719E-2,-2.504353328E-2,-1.292784297E-1,1.347540684E-1
9.342410667E0,-2.691025687E-2,-1.900430968E-2,-1.120665658E-1,1.168085651E-1
9.352366667E0,-3.254284317E-2,-7.992650438E-3,-9.215738118E-2,9.806070573E-2
9.362322667E0,-2.389413513E-2,-2.916823229E-2,-1.026332527E-1,1.093402947E-1
9.372279667E0,-1.198132860E-2,-2.564654566E-2,-9.395072222E-2,9.812255472E-2
9.382235667E0,-7.078365181E-3,-1.682351751E-2,-8.077986896E-2,8.281618939E-2
9.392191667E0,2.144795246E-3,-3.047331255E-3,-7.434500813E-2,7.443834099E-2
9.402147667E0,1.097595468E-3,-4.662368763E-3,-1.108702254E-1,1.109736423E-1
9.412103667E0,1.015527969E-2,1.858619722E-2,-1.159619808E-1,1.178802673E-1
9.422059667E0,5.817961302E-3,2.542519201E-2,-1.117695272E-1,1.147724543E-1
9.432015667E0,1.393259928E-2,1.303178089E-2,-1.125150472E-1,1.141209029E-1
9.441972667E0,7.080429979E-4,2.096469836E-2,-1.222442293E-1,1.240309296E-1
9.451928667E0,1.358675474E-2,3.172352035E-3,-1.240410787E-1,1.248232868E-1
9.461884667E0,1.365251765E-3,-5.207822621E-3,-1.361670345E-1,1.362734259E-1
9.471840667E0,-6.073265355E-3,-7.311011273E-3,-1.554745406E-1,1.557647849E-1
9.481796667E0,-2.575826403E-3,1.691215765E-3,-1.295772225E-1,1.296138560E-1
9.491752667E0,-4.965912346E-3,-1.305743555E-2,-1.146106893E-1,1.154589408E-1
9.501709667E0,-1.894210992E-2,-1.265545774E-2,-1.038307625E-1,1.063004769E-1
9.511665667E0,-3.025760511E-2,-1.435252072E-2,-9.664278030E-2,1.022807142E-1
9.521621667E0,-2.714312224E-2,-4.776426014E-3,-9.933659256E-2,1.030889031E-1
9.531577667E0,-4.975636996E-2,-4.025807977E-4,-8.616456985E-2,9.949970614E-2
9.541533667E0,-4.272730412E-2,1.571896020E-3,-1.024812251E-1,1.110427615E-1
9.551489667E0,-3.234778371E-2,1.105085386E-2,-1.120595491E-1,1.171573430E-1
9.561445667E0,-4.016330006E-2,-2.682592906E-3,-1.122098225E-1,1.192112883E-1
9.571402667E0,-2.861271026E-2,-1.529911185E-2,-1.146036726E-1,1.191081517E-1
9.581358667E0,-2.685152890E-2,-7.349913530E-3,-1.360091597E-1,1.388290940E-1
9.591314667E0,8.217165247E-5,9.640596807E-4,-1.081647187E-1,1.081690461E-1
9.601270667E0,4.267371073E-4,-1.207819138E-2,-9.050203443E-2,9.130543821E-2
9.611226667E0,5.177636370E-3,-1.601428114E-2,-1.243299311E-1,1.254639267E-1
9.621182667E0,1.172958769E-2,1.402326766E-3,-1.271746016E-1,1.277220773E-1
9.631139667E0,1.210645901E-2,3.569688611E-3,-9.184747875E-2,9.271067025E-2
9.641095667E0,-2.051440794E-3,6.527977735E-3,-1.003797358E-1,1.006126944E-1
9.651051667E0,5.386034790E-3,3.175896909E-3,-1.126559651E-1,1.128293497E-1
9.661007667E0,1.643020090E-2,-4.916338921E-3,-1.023262739E-1,1.037534974E-1
9.670963667E0,1.270049958E-2,4.983125087E-3,-1.003814900E-1,1.013043817E-1
9.680919667E0,1.969121134E-2,-8.771956377E-3,-1.207385713E-1,1.226478439E-1
9.690876667E0,1.827543598E-2,9.255594201E-4,-1.062164265E-1,1.077811555E-1
9.700832667E0,-2.716634665E-3,1.276949672E-2,-9.319350779E-2,9.410350708E-2
9.710788667E0,-1.611127183E-2,-6.404126398E-3,-8.690775096E-2,8.862021831E-2
9.720744667E0,-2.848295689E-2,6.586285438E-3,-1.231365144E-1,1.265593109E-1
9.730700667E0,-1.354754185E-2,-1.032141371E-2,-1.216390425E-1,1.228255842E-1
9.740656667E0,-2.552824918E-2,-7.570134290E-3,-1.149048042E-1,1.179496184E-1
9.750612667E0,-3.448885135E-2,-1.753539775E-2,-1.137055403E-1,1.201079553E-1
9.760569667E0,-3.108867718E-2,-2.884901086E-2,-1.232821101E-1,1.303735017E-1
9.770525667E0,-4.067085665E-3,-6.787064206E-3,-1.264261580E-1,1.266735128E-1
9.780481667E0,-3.349349080E-2,-1.626167318E-2,-1.078641719E-1,1.141093139E-1
9.790437667E0,-3.022442216E-2,7.130496763E-3,-1.143019563E-1,1.184453329E-1
9.800393667E0,-2.745640509E-2,9.395507108E-3,-9.858347118E-2,1.027659016E-1
9.810349667E0,-3.643537117E-2,2.918345332E-3,-6.909362376E-2,7.816637292E-2
9.820306667E0,-3.556378886E-2,-4.179662839E-3,-1.074121821E-1,1.132238028E-1
9.830262958E0,-1.864784880E-2,1.450831247E-2,-1.092078620E-1,1.117344643E-1
9.840218958E0,-1.760377362E-4,4.085102398E-3,-1.148942792E-1,1.149670146E-1
9.850174958E0,9.765654132E-3,4.141930025E-3,-1.157912421E-1,1.162761168E-1
9.860130958E0,8.796112686E-3,4.811545853E-3,-1.217752826E-1,1.221873235E-1
9.870086958E0,1.516844485E-2,-8.131777626E-3,-1.147364044E-1,1.160200415E-1
9.880042958E0,7.029467840E-3,-3.130946439E-3,-1.160871112E-1,1.163418826E-1
9.889999958E0,7.566534597E-3,8.357845601E-3,-9.423314273E-2,9.490516961E-2
9.899955958E0,1.491880529E-3,-2.093833108E-3,-1.184821308E-1,1.185100213E-1
9.909911958E0,1.731501253E-2,-1.643453149E-2,-1.229727924E-1,1.252685561E-1
9.919867958E0,1.163862694E-2,-1.772574289E-2,-1.012655890E-1,1.034619694E-1
9.929823958E0,4.609378371E-3,-2.457623111E-2,-9.901850402E-2,1.021268899E-1
9.939779958E0,-5.908081513E-3,-1.441886835E-4,-1.261121625E-1,1.262505594E-1
9.949736958E0,-7.564360164E-3,-5.470673237E-3,-1.042552704E-1,1.046723899E-1
9.959692958E0,-1.316984827E-2,-3.109786827E-3,-9.033480406E-2,9.134272003E-2
9.969648958E0,-3.530536020E-2,-5.826458037E-3,-1.385339874E-1,1.430806826E-1
9.979604958E0,-2.795720084E-2,-5.597502999E-3,-1.145861310E-1,1.180801361E-1
9.989560958E0,-2.953242246E-2,-5.436174665E-3,-1.033588922E-1,1.076325999E-1
9.999516958E0,-2.538206879E-2,-7.385873906E-3,-1.012620807E-1,1.046556713E-1
1.000947296E1,-3.232711745E-2,-5.245464072E-3,-1.045552325E-1,1.095643832E-1
1.001942996E1,-2.407581909E-2,-5.262713358E-3,-9.168200254E-2,9.493645668E-2
1.002938596E1,-1.082122274E-2,7.162656449E-3,-8.779184997E-2,8.874576852E-2
1.003934196E1,-2.183754148E-2,-4.204805866E-3,-1.117402911E-1,1.139317834E-1
1.004929796E1,-6.292627305E-3,-1.341844629E-3,-1.261109930E-1,1.262750184E-1
1.005925396E1,4.069388006E-3,-3.936199397E-3,-1.063550055E-1,1.065055904E-1
1.006920996E1,-2.108054632E-2,5.341979675E-4,-1.097972614E-1,1.118039060E-1
1.007916696E1,-1.183478275E-2,-6.960397605E-3,-1.283580780E-1,1.290902994E-1
1.008912296E1,1.030060127E-2,-3.967701271E-3,-1.159362531E-1,1.164605505E-1
1.009907896E1,3.921764083E-3,-1.233513996E-2,-9.438224673E-2,9.526565178E-2
1.010903496E1,1.460269019E-3,-7.714249883E-3,-1.139926386E-1,1.142626960E-1
1.011899096E1,-2.026973851E-4,-1.314412052E-2,-9.722574770E-2,9.811042252E-2
1.012894696E1,1.311510371E-2,2.741832510E-3,-1.029145038E-1,1.037830366E-1
1.013890296E1,1.184711672E-2,-1.393320227E-2,-9.422963440E-2,9.598808416E-2
1.014885996E1,2.191152703E-3,1.898353379E-3,-1.157824713E-1,1.158187617E-1
1.015881596E1,5.495249815E-3,-1.138452888E-3,-1.171285003E-1,1.172628647E-1
1.016877196E1,-1.203868613E-3,1.234694403E-3,-8.434725523E-2,8.436488153E-2
1.017872796E1,-1.077744171E-2,-1.803555395E-3,-1.130863202E-1,1.136130357E-1
1.018868396E1,-1.228944032E-2,6.231432538E-3,-1.156292742E-1,1.164473708E-1
1.019863996E1,-1.793357486E-2,1.394904457E-2,-9.362795591E-2,9.634512484E-2
1.020859696E1,-1.865599835E-2,1.387325004E-2,-1.087453473E-1,1.112028052E-1
1.021855296E1,-1.234785765E-2,3.208824042E-3,-9.871503353E-2,9.953604365E-2
1.022850896E1,-1.712857772E-2,-3.847084176E-3,-1.008106756E-1,1.023278093E-1
1.023846496E1,-2.242933452E-2,-1.228485391E-2,-1.070976019E-1,1.101085329E-1
1.024842096E1,-9.298717417E-3,-2.619432013E-2,-1.175752276E-1,1.208161525E-1
1.025837696E1,-2.034728721E-2,-1.710162571E-2,-1.252087677E-1,1.279988797E-1
1.026833296E1,-1.786211092E-2,-9.263195582E-3,-1.479620379E-1,1.493238978E-1
1.027828996E1,-2.294496758E-2,-1.677376136E-2,-1.069508368E-1,1.106630566E-1
1.028824596E1,-1.768970942E-2,-1.790834047E-2,-1.250625873E-1,1.275707067E-1
1.029820196E1,-1.005362950E-2,-1.400208978E-2,-9.422729552E-2,9.579100795E-2
1.030815796E1,-8.850400429E-3,-1.048228523E-2,-1.035056573E-1,1.044108662E-1
1.031811396E1,-1.225773744E-2,-9.685163554E-3,-9.258071959E-2,9.388953169E-2
1.032806996E1,2.634371649E-3,2.598484363E-3,-1.097937530E-1,1.098560888E-1
1.033802696E1,1.140386123E-2,2.999420632E-3,-1.030554217E-1,1.037278387E-1
1.034798296E1,2.203203449E-2,4.799504243E-3,-1.009597796E-1,1.034471985E-1
1.035793896E1,2.554834899E-2,9.620679729E-4,-1.371844500E-1,1.395464691E-1
1.036789496E1,7.619762532E-3,-8.815170955E-3,-7.176989436E-2,7.270959879E-2
1.037785096E1,-6.983841285E-3,-6.717336159E-3,-1.252099371E-1,1.255843342E-1
1.038780696E1,-3.153461874E-2,-1.362326330E-2,-1.264068621E-1,1.309912985E-1
1.039776296E1,-4.144860942E-2,-1.805135971E-2,-1.198217279E-1,1.280667220E-1
1.040771996E1,-1.058616467E-2,-1.897132773E-2,-1.063468194E-1,1.085431903E-1
1.041767596E1,-2.903032936E-2,-4.120002966E-3,-6.188926935E-2,6.848369228E-2
1.042763196E1,-2.266095735E-2,-2.847466115E-3,-2.057635188E-2,3.074106875E-2
1.043758796E1,-2.228167405E-2,-7.223869488E-4,-1.982439995E-2,2.983289585E-2
1.044754396E1,-1.694667449E-2,7.034529336E-3,5.622156322E-2,5.913999112E-2
1.045749996E1,-2.068406856E-2,8.727243450E-3,9.798763990E-2,1.005264793E-1
1.046745696E1,-2.445153924E-2,-1.634746280E-2,7.239320755E-2,7.814021890E-2
1.047741296E1,-1.428732427E-2,-1.020631492E-3,8.179669976E-3,1.649473626E-2
1.048736896E1,-5.893445201E-4,-1.012766987E-2,3.987801075E-3,1.090043950E-2
1.049732496E1,-3.269415814E-3,-8.518607486E-3,-8.088511884E-2,8.139814619E-2
1.050728096E1,-2.799098678E-3,-8.421580251E-3,-1.175576860E-1,1.178921859E-1
