"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712781312272334E9,"2024-04-10 17:35:12.272 UTC-03:00"
"PAUSE",1.095851766666601E1,1.712781323230754E9,"2024-04-10 17:35:23.231 UTC-03:00"
